,Title,Subtitle,Link
0,SEA YA LATER,In-demand De Zerbi QUITS Brighton in shock announcement on eve of final match,https://www.thesun.co.uk/sport/27993819/roberto-de-zerbi-quits-brighton-barcelona-bayern-munich-transfer/
1,OX OFFICE,Oxford United promoted to Championship just 14 years after playing non-league,https://www.thesun.co.uk/sport/27995391/oxford-promoted-championship-bolton-league-one-playoff-final/
2,SILVA LINING,Silva in brutal parting shot at Chelsea team-mates as he slams ‘unworthy egos',https://www.thesun.co.uk/sport/27995263/thiago-silva-chelsea-squad-egos/
3,BRIGHT IDEA,Brighton 'identify leading contender to replace De Zerbi in shock swoop',https://www.thesun.co.uk/sport/27994515/brighton-roberto-de-zerbi-kieran-mckenna/
4,HEAVYWEIGHT OFFERS,"Fury vs Usyk: Free bets, odds and preview for Saudi grudge match",https://www.thesun.co.uk/sport/27959049/tyson-fury-vs-oleksandr-usyk-best-free-bets/
5,CHRISTMAS GIFT,Fans baffled as Celtic handed SPL trophy by SANTA CLAUS for wild reason,https://www.thesun.co.uk/sport/27994459/fans-baffled-celtic-trophy-santa-claus/
6,HART-FELT,Hart close to tears on last game at Celtic Park as fans pay tribute with tifo,https://www.thesun.co.uk/sport/27994882/emotional-joe-hart-celtic-retirement-tifo/
7,NAP OF NOTE,"Napkin used by Barca to complete Messi transfer aged 13 sells for £760,000",https://www.thesun.co.uk/sport/27993396/most-famous-napkin-barcelona-messi-sold-nearly-1m/
8,JUR KIDDING,Klopp joins Instagram with subtle nod to first ever Liverpool press conference,https://www.thesun.co.uk/sport/27993251/jurgen-klopp-liverpool-instagram/
9,URBAN,"Win a Land Rover Defender or £75,000 alternative from just 67p with our discount",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
10,DONE DEAL,Ex-Barca star's Wag dubbed 'world's hottest woman' reveals incredible 'sex deal',https://www.thesun.co.uk/sport/27994857/barcelona-marc-bartra-jessica-goicoechea-sex-deal/
11,HAVE YOUR PHIL,"Foden wins PL Player of the Season beating City pal, Blues ace & Arsenal duo",https://www.thesun.co.uk/sport/27991339/phil-foden-premier-league-player-of-the-year/
12,JUR JOKING,Fans ask ‘is this real?’ as Burger King honour Klopp with eight-tier burger,https://www.thesun.co.uk/sport/27993284/jurgen-klopp-klopper-burger-king-liverpool-tribute/
13,DOWN THE CHUTE,Every Prem team to receive major cash windfall thanks to little-known rule,https://www.thesun.co.uk/sport/27992405/premier-league-save-103m-parachute-payment-leicester-leeds-southampton/
14,GUNNER GO?,Newcastle ‘closing in on Arsenal outcast in cut-price £15m deal',https://www.thesun.co.uk/sport/27994181/aaron-ramsdale-newcastle-transfer-news-arsenal/
15,HOME CLASH,Sancho heading for awkward reunion with Ten Hag after buying new UK mansion,https://www.thesun.co.uk/sport/27986845/man-utd-jadon-sancho-mansion-erik-ten-hag/
16,GIVE HIM A LEG UP,Southampton fans celebrate reaching Wembley with puppets and a FALSE LEG,https://www.thesun.co.uk/sport/27990044/southampton-fans-puppet-false-leg/
17,GREEN LIGHT?,European giants ‘make contact with Man Utd over Mason Greenwood transfer',https://www.thesun.co.uk/sport/27992706/napoli-man-utd-mason-greenwood-transfer/
18,CHAMP AT THE BIT,"‘Big Man’ will join TNT Sports for Champions League final, but who is it?",https://www.thesun.co.uk/sport/27993160/laura-woods-brian-cox-tnt-sports-champions-league-final/
19,SAK IT OFF,Seaman slams Arsenal star for 'bending the rules' & tells him to 'pack it in',https://www.thesun.co.uk/sport/27954002/arsenal-david-seaman-bukayo-saka-bending-rules/
20,LAURA'S WOE,Laura Woods pulls out of hosting Fury vs Usyk as she reveals horror injury,https://www.thesun.co.uk/sport/27987293/laura-woods-horror-injury-facial-cuts-fury-usyk-absence/
21,WORTH A TROY,Deeney admits favourite team to watch due to 'madness'... but it's not Man Utd,https://www.thesun.co.uk/sport/27986276/troy-deeney-premier-league-chelsea-arsenal-cole-palmer/
22,KARREN BRADY,'Maybe it's time to boot it out' - West Ham CEO's verdict on the big VAR vote,https://www.thesun.co.uk/sport/27987937/var-vote-karren-brady-west-ham/
23,DEV-ASTATED,Son of Man Utd Treble winner released from EFL club despite being top scorer,https://www.thesun.co.uk/sport/27991067/devante-andy-cole-released-barnsley-manchester-united/
24,TOP BINS,Robin van Persie lands first boss job having snubbed chance to work at Man Utd,https://www.thesun.co.uk/sport/27984646/robin-van-persie-man-utd-arsenal-heerenveen-manager/
25,WHARTS & ALL,How Wharton has gone from living with parents to £18m ace touted for Euro 2024,https://www.thesun.co.uk/sport/27978428/adam-wharton-crystal-palace-london-life-blackburn-england/
26,NOT LION DOWN,Ex-England striker lands job at non-league club after two years unemployed,https://www.thesun.co.uk/sport/27990368/james-beattie-england-premier-league-job-unemployed/
27,GONE TO POT,Aston Villa’s ex-record signing wakes up unemployed after release by EFL club,https://www.thesun.co.uk/sport/27992151/aston-villa-stoke-city-wesley-transfer-free-agent/
